source,title,make,model,variant,year,age,price_pkr,price_in_lacs,mileage_km,registered_city,engine_cc,transmission,fuel_type,url,image_url,description,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,is_total_genuine
OLX Pakistan,Suzuki Swift Automatic 2017 – Excellent Condition,Suzuki,Swift,Standard,2017,7,2425000,24.25,185000,Lahore,1300,Automatic,Petrol,https://www.olx.com.pk/item/suzuki-swift-automatic-2017-excellent-condition-iid-1119695292,https://images.olx.com.pk/thumbnails/648065057-400x300.jpeg,"Featured | Rs 24.25 Lacs | Suzuki Swift Automatic 2017 – Excellent Condition | 2017 | • | 185,000 km | • | Petrol | Sanda, Lahore | • | 3 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki Baleno 1999,Suzuki,Corolla,Standard,1999,25,750000,7.5,320,Karachi,1300,Manual,Petrol,https://www.olx.com.pk/item/suzuki-baleno-1999-iid-1119361610,https://images.olx.com.pk/thumbnails/646073934-400x300.jpeg,"Featured | Rs 7.50 Lac | Suzuki Baleno 1999 | 1999 | • | 320 km | • | Petrol | Gulshan-e-Maymar, Karachi | • | 3 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Honda civic x 1.5 turbo UG 2016 model,Honda,Civic,Standard,2016,8,4550000,45.5,50000,Lahore,1800,Manual,Petrol,https://www.olx.com.pk/item/honda-civic-x-15-turbo-ug-2016-model-iid-1118296946,https://images.olx.com.pk/thumbnails/648060452-400x300.jpeg,"Featured | Rs 45.50 Lacs | Honda civic x 1.5 turbo UG 2016 model | 2016 | • | New | • | Petrol | Sabzazar, Lahore | • | 3 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Honda Civic VTi Oriel Prosmatec 2010,Honda,Civic,VTi Oriel,2010,14,2550000,25.5,85640,Karachi,1800,Automatic,Petrol,https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2010-iid-1119622987,https://images.olx.com.pk/thumbnails/647634559-400x300.jpeg,"Featured | Rs 25.50 Lacs | Honda Civic VTi Oriel Prosmatec 2010 | 2010 | • | 85,640 km | • | Petrol | Bahria Tower, Karachi | • | 3 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,MG HS Trophy 2021 Model urgent Sale,MG,HS,Standard,2021,3,4750000,47.5,109000,Lahore,1300,Manual,Petrol,https://www.olx.com.pk/item/mg-hs-trophy-2021-model-urgent-sale-iid-1119694858,https://images.olx.com.pk/thumbnails/648062452-400x300.jpeg,"Featured | Rs 47.50 Lacs | MG HS Trophy 2021 Model urgent Sale | 2021 | • | 109,000 km | • | Petrol | Others, Gujrat | • | 3 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki Mehran VX 2007,Suzuki,Mehran,VX,2007,17,630000,6.3,8888,Lahore,1300,Manual,Petrol,https://www.olx.com.pk/item/suzuki-mehran-vx-2007-iid-1119694797,https://images.olx.com.pk/thumbnails/648062047-400x300.jpeg,"Featured | Rs 6.30 Lac | Suzuki Mehran VX 2007 | 2007 | • | 8,888 km | • | Petrol | Baghbanpura, Lahore | • | 3 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Toyota Prius 1.5 2009/2014,Toyota,Prius,Standard,2009,15,2950000,29.5,100000,Karachi,1300,Manual,Hybrid,https://www.olx.com.pk/item/toyota-prius-15-20092014-iid-1119694404,https://images.olx.com.pk/thumbnails/648059689-400x300.jpeg,"Featured | Rs 29.50 Lacs | Toyota Prius 1.5 2009/2014 | 2009 | • | 100,000 km | • | Hybrid | Gulistan-e-Jauhar, Karachi | • | 3 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki WagonR VXL 2018 total Genuine condition.,Suzuki,Corolla,VXL,2018,6,2030000,20.3,50000,Lahore,1300,Manual,Petrol,https://www.olx.com.pk/item/suzuki-wagonr-vxl-2018-total-genuine-condition-iid-1119034246,https://images.olx.com.pk/thumbnails/647717425-400x300.jpeg,"Featured | Rs 20.30 Lacs | Suzuki WagonR VXL 2018 total Genuine condition. | 2018 | • | New | • | Petrol | Bahria Town - Sector B, Lahore | • | 3 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Suzuki cultus vxl AGS model 2018 inner original outer 50/50 touch up,Suzuki,Cultus,VXL AGS,2018,6,2495000,24.95,82000,Karachi,1000,Automatic,Petrol,https://www.olx.com.pk/item/suzuki-cultus-vxl-ags-model-2018-inner-original-outer-5050-touch-up-iid-1118000453,https://images.olx.com.pk/thumbnails/644260623-400x300.jpeg,"Featured | Rs 24.95 Lacs | Suzuki cultus vxl AGS model 2018 inner original outer 50/50 touch up | 2018 | • | 82,000 km | • | Petrol | DHA Phase 5, Karachi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Honda Civic VTi Oriel Prosmatec 2016,Honda,Civic,VTi Oriel,2016,8,4050000,40.5,88000,Karachi,1800,Automatic,Petrol,https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2016-iid-1117946238,https://images.olx.com.pk/thumbnails/637673909-400x300.jpeg,"Featured | Rs 40.50 Lacs | Honda Civic VTi Oriel Prosmatec 2016 | 2016 | • | 88,000 km | • | Petrol | Korangi, Karachi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
