source,title,make,model,variant,year,age,price_pkr,price_in_lacs,mileage_km,registered_city,engine_cc,transmission,fuel_type,url,image_url,description,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,is_total_genuine
PakWheels,Changan Oshan X7  2026 Comfort for Sale,Changan,Oshan X7,Standard,2026,0,8030000,80.3,5720,Lahore,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/changan-oshan-x7-2026-for-sale-in-lahore-12037734,https://cache2.pakwheels.com/ad_pictures/1520/tn_changan-oshan-x7-comfort-2-2026-152040243.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Surf  1995 SSR-G 3.4 for Sale,Toyota,Corolla,Standard,1995,29,4700000,47.0,158000,Islamabad,3400,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-surf-1995-for-sale-in-islamabad-12044677,,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki FX  1988 GA for Sale,Suzuki,Corolla,Standard,1988,36,320000,3.2,100000,Peshawar,800,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-fx-1988-for-sale-in-peshawar-12044689,https://cache2.pakwheels.com/ad_pictures/1521/tn_suzuki-fx-ga-3-1988-152143858.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Swift  2013 DLX Automatic 1.3 for Sale,Suzuki,Swift,DLX,2013,11,2500000,25.0,130000,Lahore,1300,Automatic,Petrol,https://www.pakwheels.com/used-cars/suzuki-swift-2013-for-sale-in-mardan-12030760,https://cache3.pakwheels.com/ad_pictures/1519/tn_suzuki-swift-1-3-dlx-automatic-2013-151932987.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Swift  2012 DX 1.3 for Sale,Suzuki,Swift,Standard,2012,12,1620000,16.2,200000,Karachi,1300,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-swift-2012-for-sale-in-karachi-12044688,https://cache1.pakwheels.com/ad_pictures/1521/tn_suzuki-swift-1-3-dx-2012-152143489.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda N Wgn  2018 Custom G for Sale,Honda,Corolla,Standard,2018,6,3150000,31.5,100000,Lahore,660,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-n-wgn-2018-for-sale-in-sahiwal-12044686,https://cache4.pakwheels.com/ad_pictures/1521/tn_honda-n-wgn-custom-g-3-2018-152143628.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Corolla  2013 GLi 1.3 VVTi for Sale,Toyota,Corolla,GLi 1.3,2013,11,2850000,28.5,3300,Islamabad,1300,Manual,Petrol,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-islamabad-12044683,https://cache2.pakwheels.com/ad_pictures/1521/tn_toyota-corolla-gli-vvti-2013-152143158.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Mercedes Benz E Class 3rd (W211) Generation 2006 E 200 Kompressor Elegance for Sale,Mercedes,Benz,ES,2006,18,5900000,59.0,136000,Lahore,1800,Automatic,Petrol,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2006-for-sale-in-lahore-12044676,https://cache1.pakwheels.com/ad_pictures/1521/tn_mercedes-benz-e-class-e-200-kompressor-elegance-2006-152143425.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Passo  2015 G 1.3 for Sale,Toyota,Passo,Standard,2015,9,2850000,28.5,89000,Islamabad,1300,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-passo-2015-for-sale-in-islamabad-12044675,https://cache3.pakwheels.com/ad_pictures/1521/tn_toyota-passo-1-3-g-2-2015-152143404.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda Civic Rebirth (FB) 2008 VTi Prosmatec 1.8 i-VTEC for Sale,Honda,Civic,Rebirth,2008,16,2290000,22.9,250000,Lahore,1800,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-civic-2008-for-sale-in-lahore-10628631,https://cache4.pakwheels.com/ad_pictures/1300/tn_honda-civic-vti-1-8-i-vtec-prosmatec-2008-130048034.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda City 5th (GM2) Generation 2018 Aspire Prosmatec 1.5 i-VTEC for Sale,Honda,City,i-VTEC,2018,6,3685000,36.85,110000,Faisalabad,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-faisalabad-12044631,https://cache3.pakwheels.com/ad_pictures/1521/tn_honda-city-aspire-prosmatec-2018-152143627.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Cultus  2007 VXR for Sale,Suzuki,Cultus,VXR,2007,17,930000,9.3,989000,Karachi,1000,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-cultus-2007-for-sale-in-karachi-12044674,https://cache3.pakwheels.com/ad_pictures/1521/tn_suzuki-cultus-vxr-2007-152143508.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda City 5th (GM2) Generation 2021 Aspire Prosmatec 1.5 i-VTEC for Sale,Honda,City,i-VTEC,2021,3,4300000,43.0,36000,Karachi,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-12044670,https://cache2.pakwheels.com/ad_pictures/1521/tn_honda-city-aspire-prosmatec-2021-152143236.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Raize  2020 1.2L Z for Sale,Toyota,Raize,Standard,2020,4,6300000,63.0,24000,Multan,1200,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-multan-12044664,https://cache2.pakwheels.com/ad_pictures/1521/tn_toyota-raize-1-2l-z-2020-152142806.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Cultus  2017 VXR for Sale,Suzuki,Cultus,VXR,2017,7,2000000,20.0,72000,Lahore,1000,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-cultus-2017-for-sale-in-sahiwal-12044667,https://cache3.pakwheels.com/ad_pictures/1521/tn_suzuki-cultus-vxr-2017-152143310.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,Honda,City,i-VTEC,2018,6,3850000,38.5,100360,Islamabad,1300,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-12044666,https://cache2.pakwheels.com/ad_pictures/1521/tn_honda-city-i-vtec-prosmatec-2018-152143398.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Daihatsu Mira  2012 ES for Sale,Daihatsu,Mira,ES,2012,12,2320000,23.2,86000,Karachi,660,Automatic,Petrol,https://www.pakwheels.com/used-cars/daihatsu-mira-2012-for-sale-in-karachi-11958785,https://cache1.pakwheels.com/ad_pictures/1508/tn_daihatsu-mira-es-2012-150819227.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Alto  2026 VXR Upgraded for Sale,Suzuki,Alto,VXR,2026,0,3110000,31.1,40,Karachi,660,Manual,Petrol,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-karachi-11944548,https://cache1.pakwheels.com/ad_pictures/1506/tn_suzuki-alto-vxr-upgraded-2026-150602642.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Suzuki Swift  2017 DLX Automatic 1.3 Navigation for Sale,Suzuki,Swift,DLX,2017,7,2850000,28.5,76774,Islamabad,1300,Automatic,Petrol,https://www.pakwheels.com/used-cars/suzuki-swift-2017-for-sale-in-islamabad-11907499,https://cache3.pakwheels.com/ad_pictures/1500/tn_suzuki-swift-dlx-automatic-1-3-navigation-2017-150039744.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Prince Pearl  2022 MT for Sale,Toyota,Corolla,Standard,2022,2,1230000,12.3,20000,Lahore,800,Manual,Petrol,https://www.pakwheels.com/used-cars/prince-pearl-2022-for-sale-in-lahore-12043571,https://cache3.pakwheels.com/ad_pictures/1521/tn_prince-pearl-mt-2022-152127350.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Tank 500  2026 PHEV for Sale,Toyota,Corolla,Standard,2026,0,13400000,134.0,4000,Islamabad,2000,Automatic,Petrol,https://www.pakwheels.com/used-cars/tank-500-2026-for-sale-in-islamabad-12043482,https://cache4.pakwheels.com/ad_pictures/1521/tn_tank-500-phev-5-2026-152125468.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
